owner,location,bike_name,kms_driven,price,age,power,mileage
first owner,hyderabad,Avenger,17000,63500,6,19,35
first owner,hyderabad,Enfield,50000,115000,7,19.8,35
third owner,bangalore,Duke,24561,63400,11,25,35
first owner,bangalore,Pulsar,19718,55000,7,17,65
first owner,hyderabad,Apache,11309.13665,120000,3,20.21,40
first owner,bangalore,FZ16,28803.4234,40000,9,13,58
first owner,chennai,Enfield,25000,136900,5,19.8,35
first owner,ghaziabad,Enfield,26240,112000,7,24.5,32
first owner,delhi,Enfield,18866,110000,6,19.8,40
first owner,delhi,CB,15661.9988,50000,5,10,65
first owner,delhi,Enfield,13826.21618,131000,4,18,30
third owner,delhi,Pulsar,15661.9988,53000,5,23.2,42
first owner,delhi,Enfield,12634,160000,4,19.8,35
first owner,delhi,Enfield,24630.19113,121000,8,19.8,37
first owner,delhi,Enfield,13000,111000,7,19.8,37
first owner,delhi,Enfield,28000,131500,4,19.8,40
first owner,delhi,CB,22650.16775,52000,7,14,60
first owner,delhi,Enfield,23350,115000,5,19,37
first owner,delhi,Pulsar,28803.4234,47000,9,14.85,65
first owner,delhi,Avenger,9551,52000,7,19,53
first owner,ludhiana,Enfield,23522,190000,5,19.8,37
first owner,delhi,Enfield,25000,67000,8,19.8,40
first owner,delhi,FZs,10168,44000,8,13,45
first owner,delhi,Enfield,7000,141500,5,19.8,35
first owner,delhi,Enfield,12000,110000,7,19.8,35
first owner,delhi,Pulsar,11309.13665,118000,3,23.2,42
first owner,delhi,Pulsar,26683,65000,7,21,38
first owner,bangalore,Renegade,6900,148000,5,24.8,35
first owner,mumbai,FZ,17677.73193,47475,6,13,58
second owner,mumbai,CBR,30202,58000,12,26.15,29
first owner,chittorgarh,Glamour,50000,63000,4,8.9,55
first owner,chittorgarh,Pulsar,15661.9988,48000,5,15,65
first owner,chittorgarh,Super,40000,60000,4,9,75
first owner,delhi,Enfield,20805,95000,8,19.8,35
first owner,chittorgarh,Discover,45000,46000,4,8.6,70.81020408
first owner,bangalore,Pulsar,28200,58000,7,21,38
first owner,thalassery,Enfield,50000,70000,12,19.8,35
first owner,hyderabad,Avenger,14000,55000,7,19,53
first owner,chittorgarh,Pulsar,55000,45000,8,21,38
first owner,delhi,Pulsar,30000,62000,5,17,65
first owner,bathinda,Enfield,1650,140000,5,19.8,37
first owner,hyderabad,Ignitor,45000,30000,9,11,55
first owner,gurgaon,CB,13826.21618,51000,4,10,65
first owner,delhi,Karizma,33000,18000,14,17,40
first owner,hyderabad,Enfield,27300,130000,4,19.8,34.2996904
first owner,mumbai,RC,5700,207500,2,24.6,35
second owner,mumbai,Enfield,15000,181562,4,24.5,32
first owner,dehradun,Enfield,21000,110000,10,27.2,25
first owner,mumbai,Enfield,9000,207500,3,19.1,35
first owner,pune,Gixxer,35000,54468,8,14,63
first owner,kukatpally,CB,15661.9988,70000,5,10,65
first owner,delhi,Pulsar,20864,55000,6,21,38
first owner,pune,Pulsar,41962.39683,30087,15,14.85,65
first owner,chittorgarh,Passion,44228,57000,4,8,55
first owner,mumbai,Enfield,9000,166000,4,19.8,34.2996904
first owner,hyderabad,Apache,21500,93000,4,16.1,45.38520408
second owner,hyderabad,Apache,15661.9988,88000,5,20.23,40
first owner,delhi,Enfield,7714,135000,4,19.8,40
first owner,delhi,Enfield,5389,165000,3,19.8,35
first owner,hyderabad,Gixxer,9500,120000,4,26.1,51.42176871
first owner,delhi,YZF-R15,12573,128000,4,18.7,41.91219512
first owner,chittorgarh,Splendor,34000,45000,6,7,50
first owner,chittorgarh,Passion,28240,50000,4,9.3,36.007109
first owner,chittorgarh,Passion,30000,42000,5,8.2,5
second owner,dehradun,Pulsar,38000,30000,13,21,38
second owner,navi mumbai,Avenger,9563,39000,6,14.3,45
first owner,lucknow,Gixxer,23000,70000,4,26.1,51.42176871
first owner,delhi,Passion,56194,20000,12,8.2,5
first owner,pune,Pulsar,28803.4234,40000,9,14.85,65
second owner,hyderabad,FZs,27000,48500,9,13,45
first owner,bengaluru,Apache,17677.73193,80000,6,17.2,45
first owner,delhi,Pulsar,15661.9988,110000,5,24.5,35
first owner,pune,Pulsar,24630.19113,76300,8,24.16,35
first owner,gurgaon,YZF-R15,5700,117500,4,18.7,41.91219512
first owner,rajkot,YZF-R15,19000,125000,4,18.7,41.91219512
first owner,bangalore,Enfield,23000,114500,9,19.8,35
first owner,agra,Pulsar,15661.9988,100000,5,24.5,35
first owner,bhiwandi,Pulsar,17677.73193,115000,6,24.5,35
first owner,pune,RC,28000,90000,7,25.1,35
first owner,bangalore,Pulsar,9000,114125,4,21,38
first owner,bihar shariff,Enfield,39500,95000,7,19.8,35
first owner,hyderabad,FZS,17677.73193,72000,6,13,58
first owner,jalandhar,Enfield,1600,165000,8,29.1,26
first owner,mumbai,YZF-R15,42821,42000,15,16,42
first owner,bangalore,Enfield,11309.13665,150000,3,19.8,37
first owner,chittorgarh,Pulsar,15661.9988,58000,5,15,65
first owner,chittorgarh,Discover,40000,45000,4,8.6,70.81020408
first owner,delhi,Enfield,15990,70000,11,19.8,40
